radius_mean,texture_mean,smoothness_mean,concavity_mean,symmetry_mean,fractal_dimension_mean,radius_se,texture_se,smoothness_se,compactness_se,concavity_se,concave points_se,symmetry_se,fractal_dimension_se,compactness_worst,concave points_worst,symmetry_worst,fractal_dimension_worst,diagnosis
18.61,20.25,0.0944,0.149,0.1697,0.05699,0.8529,1.849,0.01075,0.02722,0.05081,0.01911,0.02293,0.004217,0.2117,0.149,0.2341,0.07421,0
15.3,25.27,0.1082,0.1683,0.1926,0.0654,0.439,1.012,0.005233,0.03057,0.03576,0.01083,0.01768,0.002967,0.611,0.2024,0.4027,0.09876,0
17.57,15.05,0.09847,0.09875,0.1739,0.06149,0.6003,0.8225,0.005627,0.03033,0.03407,0.01354,0.01925,0.003742,0.2812,0.1456,0.2756,0.07919,0
18.63,25.11,0.1064,0.2319,0.2183,0.06197,0.8307,1.466,0.006248,0.03374,0.05196,0.01158,0.02007,0.00456,0.4257,0.1848,0.3444,0.09782,0
11.84,18.7,0.1109,0.1218,0.2301,0.07799,0.4825,1.03,0.005551,0.03414,0.04205,0.01044,0.02273,0.005667,0.5775,0.1546,0.4761,0.1402,0
17.02,23.98,0.1197,0.2417,0.2248,0.06382,0.6009,1.398,0.008268,0.03082,0.05042,0.01112,0.02102,0.003854,0.3559,0.1847,0.353,0.08482,0
19.27,26.47,0.09401,0.1657,0.1853,0.06261,0.5558,0.6062,0.005015,0.03318,0.03497,0.009643,0.01543,0.003896,0.659,0.1785,0.3672,0.1123,0
16.13,17.88,0.104,0.1354,0.1998,0.06515,0.334,0.6857,0.004185,0.02868,0.02664,0.009067,0.01703,0.003817,0.5804,0.1864,0.427,0.1233,0
16.74,21.59,0.0961,0.1348,0.1896,0.05656,0.4615,0.9197,0.005776,0.02499,0.03695,0.01195,0.02789,0.002665,0.3835,0.1813,0.4863,0.08633,0
14.25,21.72,0.09823,0.1319,0.1885,0.06125,0.286,1.019,0.005878,0.02995,0.04815,0.01161,0.02028,0.004022,0.4238,0.1447,0.3591,0.1014,0
13.03,18.42,0.08983,0.02562,0.1467,0.05863,0.1839,2.342,0.004352,0.004899,0.01343,0.01164,0.02671,0.001777,0.04619,0.05013,0.1987,0.06169,1
14.99,25.2,0.09387,0.02398,0.1565,0.05504,1.214,2.188,0.006883,0.01094,0.01818,0.01917,0.007882,0.001754,0.05131,0.02899,0.1565,0.05504,0
13.48,20.82,0.1016,0.1063,0.172,0.06419,0.213,0.5914,0.005367,0.02239,0.03049,0.01262,0.01377,0.003187,0.4225,0.2258,0.2807,0.1071,0
13.44,21.58,0.08162,0.0311,0.1784,0.05587,0.2385,0.8265,0.00328,0.01102,0.0139,0.006881,0.0138,0.001286,0.2043,0.1112,0.2994,0.07146,0
10.95,21.35,0.1227,0.1044,0.1895,0.0687,0.2366,1.428,0.008064,0.01764,0.02595,0.01037,0.01357,0.00304,0.2698,0.1424,0.2964,0.09606,0
19.07,24.81,0.09081,0.2107,0.231,0.06343,0.9811,1.666,0.006548,0.1006,0.09723,0.02638,0.05333,0.007646,0.7444,0.2493,0.467,0.1038,0
13.28,20.28,0.1041,0.09847,0.1974,0.06782,0.3704,0.8249,0.005072,0.02147,0.02185,0.00956,0.01719,0.003317,0.3724,0.1492,0.3739,0.1027,0
13.17,21.81,0.09714,0.08259,0.1746,0.06177,0.1938,0.6123,0.00335,0.01384,0.01452,0.006853,0.01113,0.00172,0.3904,0.1607,0.3693,0.09618,0
18.65,17.6,0.1099,0.1974,0.1907,0.06049,0.6289,0.6633,0.006294,0.03994,0.05554,0.01695,0.02428,0.003535,0.509,0.2378,0.3799,0.09185,0
8.196,16.84,0.086,0.01588,0.1769,0.06503,0.1563,0.9567,0.008968,0.01646,0.01588,0.005917,0.02574,0.002582,0.1357,0.02564,0.3105,0.07409,1
13.17,18.66,0.1158,0.1226,0.2128,0.06777,0.2871,0.8937,0.006532,0.02336,0.02905,0.01215,0.01743,0.003643,0.4166,0.2088,0.39,0.1179,0
12.05,14.63,0.1031,0.06592,0.1675,0.06043,0.2636,0.7294,0.005488,0.01427,0.02322,0.00566,0.01428,0.002422,0.2156,0.06548,0.2747,0.08301,1
13.49,22.3,0.08752,0.04751,0.1809,0.05718,0.2338,1.353,0.004455,0.01382,0.02095,0.01184,0.01641,0.001956,0.1711,0.1282,0.2871,0.06917,1
11.76,21.6,0.08637,0.01657,0.1495,0.05888,0.4062,1.21,0.005857,0.009758,0.01168,0.007445,0.02406,0.001769,0.08615,0.03715,0.2433,0.06563,1
13.64,16.34,0.07685,0.01857,0.1353,0.05953,0.1872,0.9234,0.004477,0.01177,0.01079,0.007956,0.01325,0.002551,0.1582,0.08586,0.2346,0.08025,1
11.94,18.24,0.08261,0.01972,0.1868,0.0611,0.2273,0.6329,0.00721,0.00838,0.01311,0.008,0.01996,0.002635,0.08906,0.06296,0.2785,0.07408,1
18.22,18.7,0.1148,0.1772,0.2092,0.0631,0.8337,1.593,0.003899,0.02961,0.02817,0.009222,0.02674,0.005126,0.2297,0.1325,0.3021,0.07987,0
15.1,22.02,0.09056,0.05253,0.1616,0.05684,0.3105,0.8339,0.004675,0.0103,0.01603,0.009222,0.01095,0.001629,0.2057,0.153,0.2675,0.07873,0
11.52,18.75,0.09524,0.03036,0.192,0.05907,0.3249,0.9591,0.008328,0.008722,0.01349,0.00867,0.03218,0.002386,0.0872,0.06316,0.3306,0.07036,1
19.21,18.57,0.1053,0.1323,0.1917,0.05961,0.7275,1.193,0.006458,0.02306,0.02945,0.01538,0.01852,0.002608,0.3511,0.2091,0.3537,0.08294,0
14.71,21.59,0.1137,0.1293,0.2027,0.06758,0.4226,1.15,0.003659,0.02855,0.02572,0.01272,0.01817,0.004108,0.429,0.1834,0.3698,0.1094,0
13.05,19.31,0.0806,0.000692,0.1819,0.05501,0.404,1.214,0.007491,0.008593,0.000692,0.004167,0.0219,0.00299,0.06191,0.01111,0.2439,0.06289,1
8.618,11.79,0.09752,0.02061,0.1683,0.07187,0.1559,0.5796,0.01011,0.01055,0.01981,0.005742,0.0209,0.002788,0.1239,0.04419,0.322,0.09026,1
10.17,14.88,0.1134,0.01084,0.2743,0.0696,0.5158,1.441,0.007514,0.01099,0.007665,0.008193,0.04183,0.005953,0.09866,0.02579,0.3557,0.0802,1
8.598,20.98,0.1243,0.03,0.1828,0.06757,0.3582,2.067,0.01193,0.03162,0.03,0.009259,0.03357,0.003048,0.1698,0.02778,0.2972,0.07712,1
14.25,22.15,0.1049,0.2135,0.1949,0.07292,0.7036,1.268,0.009407,0.07056,0.06899,0.01848,0.017,0.006113,0.6247,0.1785,0.2844,0.1132,0
9.173,13.86,0.07721,0.05988,0.2341,0.06963,0.4098,2.265,0.008738,0.03938,0.04312,0.0156,0.04192,0.005822,0.1678,0.05087,0.3282,0.0849,1
12.68,23.84,0.1122,0.1128,0.1905,0.0659,0.4255,1.178,0.007781,0.02648,0.02973,0.0129,0.01635,0.003601,0.4061,0.1716,0.3383,0.1031,0
14.78,23.94,0.1172,0.1267,0.1953,0.06654,0.3577,1.281,0.006703,0.0231,0.02315,0.01184,0.019,0.003224,0.3416,0.1614,0.3321,0.08911,0
9.465,21.01,0.1044,0.02172,0.1717,0.06899,0.2351,2.011,0.01052,0.01755,0.01714,0.009333,0.02279,0.004237,0.1664,0.06517,0.2878,0.09211,1
11.31,19.04,0.08139,0.03709,0.1516,0.05667,0.2727,0.9429,0.009282,0.009216,0.02063,0.008965,0.02183,0.002146,0.09148,0.06961,0.24,0.06641,1
9.029,17.33,0.1066,0.313,0.2111,0.08046,0.3274,1.194,0.009549,0.08606,0.3038,0.03322,0.04197,0.009559,0.4365,0.175,0.4228,0.1175,1
12.78,16.49,0.09831,0.03653,0.159,0.05653,0.2368,0.8732,0.007962,0.005612,0.01585,0.008662,0.02254,0.001906,0.07061,0.05882,0.2383,0.0641,1
18.94,21.31,0.09009,0.108,0.1582,0.05461,0.7888,0.7975,0.004444,0.01652,0.02269,0.0137,0.01386,0.001698,0.2336,0.1789,0.2551,0.06589,0
8.888,14.64,0.09783,0.08606,0.1902,0.0898,0.5262,0.8522,0.01721,0.09368,0.05671,0.01766,0.02541,0.02193,0.2436,0.04786,0.2254,0.1084,1
17.2,24.52,0.1071,0.1692,0.1927,0.06487,0.5907,1.041,0.00582,0.05616,0.04252,0.01127,0.01527,0.006299,0.7394,0.1899,0.3313,0.1339,0
13.8,15.79,0.1007,0.07789,0.1662,0.06566,0.2787,0.6205,0.004717,0.02065,0.01759,0.009206,0.0122,0.00313,0.3542,0.1383,0.2589,0.103,0
12.31,16.52,0.09172,0.03372,0.172,0.05914,0.2505,1.025,0.004854,0.01819,0.01826,0.007965,0.01386,0.002304,0.1843,0.0866,0.2618,0.07609,1
16.07,19.65,0.09168,0.09769,0.1798,0.05391,0.7474,1.016,0.01082,0.02203,0.035,0.01809,0.0155,0.001948,0.2045,0.152,0.265,0.06387,0
13.53,10.94,0.1291,0.06877,0.2403,0.06641,0.4101,1.014,0.0134,0.02839,0.01162,0.008239,0.02572,0.006164,0.1379,0.07407,0.271,0.07191,1
18.05,16.15,0.1065,0.1684,0.2152,0.06673,0.9806,0.5505,0.00794,0.05839,0.04658,0.0207,0.02591,0.007054,0.5634,0.2102,0.3751,0.1108,0
20.18,23.97,0.1286,0.3754,0.2906,0.08142,0.9317,1.885,0.01038,0.06835,0.1091,0.02593,0.07895,0.005987,0.6164,0.2508,0.544,0.09964,0
12.86,18.0,0.09934,0.03889,0.1718,0.05997,0.2655,1.095,0.005293,0.01661,0.02071,0.008179,0.01748,0.002848,0.2141,0.07926,0.2779,0.07918,1
11.45,20.97,0.1102,0.04591,0.1842,0.07005,0.3251,2.174,0.01037,0.01706,0.02586,0.007506,0.01816,0.003976,0.1676,0.06127,0.2762,0.08851,1
13.34,15.86,0.1078,0.1169,0.1942,0.06902,0.286,1.016,0.006794,0.03575,0.0398,0.01383,0.02134,0.004603,0.4791,0.1708,0.3527,0.1016,1
25.22,24.91,0.1063,0.3339,0.1829,0.06782,0.8973,1.474,0.008166,0.05693,0.0573,0.0203,0.01065,0.005893,0.6076,0.2867,0.2355,0.1051,0
19.1,26.29,0.1215,0.1937,0.1634,0.07224,0.519,2.91,0.007545,0.0605,0.02134,0.01843,0.03056,0.01039,0.2817,0.1841,0.2311,0.09203,0
12.0,15.65,0.09723,0.04151,0.2079,0.05968,0.2271,1.255,0.005969,0.01812,0.02007,0.007027,0.01972,0.002607,0.2003,0.07632,0.3379,0.07924,1
18.46,18.52,0.09874,0.1335,0.2132,0.06022,0.6997,1.475,0.006471,0.01649,0.02806,0.0142,0.0237,0.003755,0.2089,0.1642,0.3695,0.08579,0
14.48,21.46,0.09444,0.1204,0.2075,0.05636,0.4204,2.22,0.009369,0.02983,0.05371,0.01761,0.02418,0.003249,0.1976,0.1225,0.302,0.06846,0
19.02,24.59,0.09029,0.1468,0.1953,0.05629,0.5495,0.6636,0.003872,0.01842,0.0371,0.012,0.01964,0.003337,0.3206,0.1956,0.3956,0.09288,0
12.36,21.8,0.08772,0.06015,0.193,0.06404,0.2978,1.502,0.007112,0.02493,0.02703,0.01293,0.01958,0.004463,0.2463,0.1205,0.2972,0.09261,1
14.64,15.24,0.1132,0.09966,0.2116,0.06346,0.5115,0.7372,0.005508,0.04412,0.04436,0.01623,0.02427,0.004841,0.3089,0.1397,0.3151,0.08473,1
14.62,24.02,0.08974,0.03102,0.1685,0.05866,0.3721,1.111,0.004868,0.01818,0.01121,0.008606,0.02085,0.002893,0.1766,0.06946,0.2522,0.07246,1
15.37,22.76,0.092,0.1122,0.1717,0.06097,0.3129,0.8413,0.009882,0.02444,0.04531,0.01763,0.02471,0.002142,0.1997,0.1476,0.2556,0.06828,0
13.27,14.76,0.07355,0.03261,0.1386,0.05318,0.4057,1.153,0.004481,0.01038,0.01358,0.01082,0.01069,0.001435,0.1238,0.1001,0.2027,0.06206,1
13.45,18.3,0.1022,0.03974,0.1638,0.0571,0.295,1.373,0.005884,0.01491,0.01872,0.009366,0.01884,0.001817,0.1751,0.07911,0.2678,0.06603,1
15.06,19.83,0.1039,0.17,0.1855,0.06284,0.4768,0.9644,0.00925,0.03715,0.04867,0.01851,0.01498,0.00352,0.4203,0.2115,0.2834,0.08234,0
20.26,23.03,0.09078,0.1465,0.2095,0.05649,0.7576,1.509,0.006016,0.03482,0.04232,0.01269,0.02657,0.004411,0.3539,0.1573,0.3689,0.08368,0
12.18,17.84,0.1045,0.0249,0.19,0.06635,0.3661,1.511,0.005433,0.01179,0.01131,0.01519,0.0222,0.003408,0.09358,0.05882,0.2227,0.07376,1
9.787,19.94,0.1024,0.006829,0.135,0.0689,0.335,2.043,0.01113,0.01463,0.005308,0.00525,0.01801,0.005667,0.09473,0.02381,0.1934,0.08988,1
11.6,12.84,0.08983,0.04196,0.162,0.06582,0.2315,0.5391,0.006153,0.0133,0.01693,0.006884,0.01651,0.002551,0.1851,0.08449,0.2772,0.08756,1
14.42,19.77,0.09752,0.09388,0.1879,0.0639,0.2895,1.851,0.008005,0.02895,0.03321,0.01424,0.01462,0.004452,0.3026,0.1565,0.2718,0.09353,0
13.61,24.98,0.09488,0.08625,0.1609,0.05871,0.4565,1.29,0.005872,0.01488,0.02647,0.009921,0.01465,0.002355,0.1943,0.1184,0.2651,0.07397,0
6.981,13.43,0.117,0.0,0.193,0.07818,0.2241,1.508,0.01019,0.01084,0.0,0.0,0.02659,0.0041,0.1202,0.0,0.2932,0.09382,1
12.18,20.52,0.08013,0.02383,0.1739,0.05677,0.1924,1.571,0.00508,0.006098,0.01069,0.006797,0.01447,0.001532,0.08862,0.07431,0.2694,0.06878,1
9.876,19.4,0.1005,0.06154,0.1945,0.06322,0.1803,1.222,0.009058,0.02196,0.03029,0.01112,0.01609,0.00357,0.2302,0.09749,0.2622,0.0849,1
10.49,19.29,0.09989,0.02995,0.2217,0.06481,0.355,1.534,0.007595,0.02219,0.0288,0.008614,0.0271,0.003451,0.1486,0.03203,0.2826,0.07552,1
13.11,15.56,0.1398,0.2071,0.1925,0.07692,0.3908,0.9238,0.007162,0.02912,0.05473,0.01388,0.01547,0.007098,0.4099,0.1986,0.3147,0.1405,0
11.64,18.33,0.1142,0.0707,0.1801,0.0652,0.306,1.657,0.00854,0.0231,0.02945,0.01398,0.01565,0.00384,0.266,0.1218,0.2806,0.09097,1
12.36,18.54,0.08477,0.02643,0.1602,0.06066,0.1199,0.8944,0.003457,0.01047,0.01167,0.005558,0.01251,0.001356,0.1963,0.08442,0.2983,0.07185,1
22.27,19.67,0.1326,0.4264,0.2556,0.07039,1.215,1.545,0.006515,0.08668,0.104,0.0248,0.03112,0.005037,0.6997,0.291,0.4055,0.09789,0
11.34,21.26,0.08759,0.05133,0.1487,0.06529,0.2344,0.9861,0.009113,0.01557,0.02443,0.006435,0.01568,0.002477,0.2196,0.08278,0.2829,0.08832,1
9.777,16.99,0.1037,0.04334,0.1584,0.07065,0.403,1.424,0.01385,0.02932,0.02722,0.01023,0.03281,0.004638,0.1765,0.05334,0.2533,0.08468,1
12.63,20.76,0.09933,0.1065,0.1735,0.0707,0.3424,1.803,0.01291,0.04042,0.05101,0.02295,0.02144,0.005891,0.225,0.1105,0.2226,0.08486,1
14.26,19.65,0.07837,0.3003,0.1704,0.07769,0.3628,1.49,0.005298,0.07446,0.1435,0.02292,0.02566,0.01298,0.4193,0.1505,0.2398,0.1082,1
10.51,20.19,0.1122,0.06476,0.1922,0.07782,0.3336,1.86,0.01188,0.03747,0.04591,0.01544,0.02287,0.006792,0.2049,0.06136,0.2383,0.09026,1
8.726,15.83,0.115,0.04132,0.1649,0.07633,0.1665,0.5864,0.008261,0.02213,0.03259,0.0104,0.01708,0.003806,0.2364,0.105,0.2926,0.1017,1
11.93,21.53,0.09768,0.03328,0.1688,0.06194,0.3118,0.9227,0.007803,0.02507,0.01835,0.007711,0.01278,0.003856,0.2399,0.07247,0.2438,0.08541,1
8.95,15.76,0.09462,0.09263,0.1305,0.07163,0.3132,0.9789,0.01835,0.0676,0.09263,0.02308,0.02384,0.005601,0.1879,0.03846,0.1652,0.07722,1
14.87,16.67,0.1162,0.169,0.2157,0.06768,0.4266,0.9489,0.006985,0.02563,0.03011,0.01271,0.01602,0.003884,0.448,0.2027,0.3585,0.1065,0
15.78,22.91,0.1155,0.2133,0.2096,0.07331,0.552,1.072,0.008699,0.03976,0.0595,0.0139,0.01495,0.005984,0.4925,0.2034,0.3274,0.1252,0
17.95,20.01,0.08402,0.07293,0.2129,0.05025,0.5506,1.214,0.004024,0.008422,0.02291,0.009863,0.05014,0.001902,0.1202,0.1185,0.4882,0.06111,0
11.41,10.82,0.09373,0.03512,0.1667,0.06113,0.1408,0.4607,0.00604,0.01529,0.01514,0.00646,0.01344,0.002206,0.239,0.08958,0.3016,0.08523,1
18.66,17.12,0.1054,0.1457,0.1966,0.06213,0.7128,1.581,0.008102,0.02101,0.03342,0.01601,0.02045,0.00457,0.2291,0.1674,0.2894,0.08456,0
24.25,20.2,0.1447,0.4268,0.2655,0.06877,1.509,3.12,0.02333,0.09806,0.1278,0.01822,0.04547,0.009875,0.4244,0.2248,0.3222,0.08009,0
14.5,10.89,0.1101,0.08842,0.1856,0.06402,0.2929,0.857,0.003818,0.01276,0.02882,0.012,0.0191,0.002808,0.1788,0.1221,0.2889,0.08006,1
13.37,16.39,0.07115,0.08092,0.1422,0.05823,0.1639,1.14,0.005919,0.0327,0.04957,0.01038,0.01208,0.004076,0.2531,0.08978,0.2048,0.07628,1
13.85,17.21,0.08785,0.0142,0.1614,0.0589,0.2185,0.8561,0.004599,0.009169,0.009127,0.004814,0.01247,0.001708,0.135,0.05104,0.2364,0.07182,1
13.61,24.69,0.09258,0.05285,0.1761,0.0613,0.231,1.005,0.004088,0.01174,0.01796,0.00688,0.01323,0.001465,0.2884,0.1329,0.347,0.079,0
19.0,18.91,0.08217,0.09271,0.1946,0.05044,0.6896,1.342,0.004428,0.02731,0.0404,0.01361,0.0203,0.002686,0.2264,0.1218,0.2841,0.06541,0
15.1,16.39,0.115,0.1138,0.2001,0.06467,0.4309,1.068,0.009006,0.04185,0.03204,0.02258,0.02353,0.004984,0.2883,0.1423,0.259,0.07779,1
19.79,25.12,0.1015,0.2545,0.2202,0.06113,0.4953,1.199,0.005033,0.03179,0.04755,0.01043,0.01578,0.003224,0.3861,0.1732,0.3305,0.08465,0
12.19,13.29,0.1066,0.02855,0.188,0.06471,0.2005,0.8163,0.006773,0.02456,0.01018,0.008094,0.02662,0.004143,0.2585,0.08187,0.3469,0.09241,1
15.46,19.48,0.1092,0.1466,0.1931,0.05796,0.4743,0.7859,0.00624,0.01484,0.02813,0.01093,0.01397,0.002461,0.2394,0.1514,0.2837,0.08019,0
16.16,21.54,0.1008,0.1043,0.216,0.05891,0.4332,1.265,0.004877,0.01952,0.02219,0.009231,0.01535,0.002373,0.3055,0.1312,0.348,0.07619,0
15.71,13.93,0.09462,0.07135,0.1816,0.05723,0.3117,0.8155,0.005217,0.01515,0.01678,0.01268,0.01669,0.00233,0.1949,0.1374,0.2723,0.07071,1
18.45,21.91,0.0943,0.1153,0.1692,0.05727,0.5959,1.202,0.006001,0.01422,0.02855,0.009148,0.01492,0.002205,0.2275,0.1379,0.3109,0.0761,0
12.77,22.47,0.09055,0.04711,0.1585,0.06065,0.2367,1.38,0.007499,0.01202,0.02332,0.00892,0.01647,0.002629,0.1523,0.09331,0.2829,0.08067,0
11.71,16.67,0.1051,0.03592,0.1339,0.05945,0.4489,2.508,0.006578,0.0138,0.02662,0.01307,0.01359,0.003707,0.1028,0.06968,0.1712,0.07343,1
11.43,15.39,0.09639,0.03503,0.1734,0.05865,0.1759,0.9938,0.005133,0.01521,0.01434,0.008602,0.01501,0.001588,0.1648,0.08476,0.2676,0.06765,1
14.95,17.57,0.1167,0.1539,0.1957,0.06216,1.296,1.452,0.01,0.0348,0.06577,0.02801,0.05168,0.002887,0.2164,0.1667,0.3414,0.07147,0
11.28,13.39,0.1164,0.04635,0.1771,0.06072,0.3384,1.343,0.01127,0.03498,0.02187,0.01965,0.0158,0.003442,0.1822,0.08611,0.2102,0.06784,1
9.738,11.97,0.0925,0.0,0.1903,0.06422,0.1988,0.496,0.00604,0.005656,0.0,0.0,0.02277,0.00322,0.07204,0.0,0.3105,0.08151,1
16.11,18.05,0.09721,0.09447,0.1861,0.06248,0.7049,1.332,0.00677,0.01938,0.03067,0.01167,0.01875,0.003434,0.2236,0.1216,0.2792,0.08158,0
11.43,17.31,0.1092,0.02031,0.1645,0.06562,0.2843,1.908,0.006664,0.01735,0.01158,0.00952,0.02282,0.003526,0.1792,0.06402,0.2584,0.08096,1
12.9,15.92,0.08677,0.04894,0.1778,0.06235,0.2143,0.7712,0.005324,0.01563,0.0151,0.007584,0.02104,0.001887,0.2548,0.1012,0.3549,0.08118,1
10.75,14.97,0.07793,0.02251,0.1399,0.05688,0.2525,1.239,0.006547,0.01781,0.02018,0.005612,0.01671,0.00236,0.1223,0.03413,0.23,0.06769,1
11.9,14.65,0.1152,0.0371,0.1995,0.07839,0.3962,0.6538,0.01017,0.04741,0.02789,0.0111,0.03127,0.009423,0.2517,0.06042,0.2727,0.1036,1
11.8,16.58,0.1091,0.1659,0.2678,0.07371,0.3197,1.426,0.005427,0.03633,0.04649,0.01843,0.05628,0.004635,0.4092,0.1865,0.5774,0.103,0
14.95,18.77,0.08138,0.0905,0.1744,0.06493,0.422,1.909,0.00579,0.04877,0.05303,0.01527,0.03356,0.009368,0.2521,0.08405,0.2852,0.09218,1
14.44,15.18,0.0997,0.08487,0.1724,0.06081,0.2406,0.7394,0.005706,0.02297,0.03114,0.01493,0.01454,0.002528,0.2735,0.1599,0.2691,0.07683,1
13.74,17.91,0.07944,0.02881,0.1473,0.0558,0.25,0.7574,0.002838,0.01592,0.0178,0.005828,0.01329,0.001976,0.1824,0.06019,0.235,0.07014,1
13.0,20.78,0.1135,0.03136,0.254,0.06087,0.4202,1.322,0.007017,0.01142,0.01949,0.01153,0.02951,0.001533,0.1105,0.06296,0.3196,0.06435,1
8.219,20.7,0.09405,0.1321,0.2222,0.08261,0.1935,1.962,0.01243,0.05416,0.07753,0.01022,0.02309,0.01178,0.431,0.07879,0.3322,0.1486,1
9.731,15.34,0.1072,0.4108,0.2548,0.09296,0.8245,2.664,0.01097,0.09586,0.396,0.05279,0.03546,0.02984,0.2772,0.1571,0.3108,0.1259,1
11.15,13.08,0.09754,0.01982,0.183,0.06105,0.2251,0.7815,0.009019,0.008985,0.01196,0.008232,0.02388,0.001619,0.08971,0.05506,0.2859,0.06772,1
